Ticker,Company Name,Sector,Industry Group,Country,Dividend Yield,Dividend Payout Ratio,Last
TPL,Texas Pacific Land Trust,Financial,Real Estate Development,United States of America,0.022127,1.145477,1175.02
TPL,Texas Pacific Land Trust,Financial,Real Estate Development,United States of America,0.022127,1.145477,1175.02
TR,Tootsie Roll Industries Inc,Consumer Goods,Confectioners,United States of America,0.011211,0.403737,32.79
TRMK,Trustmark Corp,Financial,Regional - Southeast Banks,United States of America,0.028804,0.367249,33.27
TRMT,Tremont Mortgage Trust,,,United States of America,0.148289,0.232742,5.26
TRNO,Terreno Realty Corp,Financial,REIT - Industrial,United States of America,0.02558,0.937126,55.86
TROW,T. Rowe Price Group Inc,Financial,Asset Management,United States of America,0.022016,0.335196,172.81
TROX,Tronox Ltd,Basic Materials,Chemicals - Major Diversified,United States of America,0.015739,0.040201,18.51
TRST,TrustCo Bank Corp N Y,Financial,Regional - Northeast Banks,United States of America,0.037833,0.502002,7.33
TRU,TransUnion,Services,Business Services,United States of America,0.003532,0.098025,87.85
TRV,Travelers Companies Inc,Financial,Property & Casualty Insurance,United States of America,0.022614,0.319244,152.31
TSCO,Tractor Supply Co,Services,"Specialty Retail, Other",United States of America,0.011008,0.233199,155.69
TSE,Trinseo SA,Consumer Goods,Rubber & Plastics,United States of America,0.019641,7.822785,67
TTEC,TeleTech Holdings Inc,Services,Business Services,United States of America,0.035041,1.123899,81.56
TW,Towers Watson & Co ,Services,Management Services,United States of America,0.004575,0.194548,71.99
TXN,Texas Instruments Inc,Technology,Semiconductor - Broad Line,United States of America,0.023522,0.612332,167.77
TXRH,Texas Roadhouse Inc,Services,Restaurants,United States of America,0.013739,0.813772,93.47
TXT,Textron Inc,Industrial Goods,Aerospace/Defense - Major Diversified,United States of America,0.0016,0.058252,51.95
UBCP,United Bancorp Inc,Financial,Regional - Midwest Banks,United States of America,0.038412,0.473595,14.84
UBFO,United Security Bancshares,Financial,Regional - Pacific Banks,United States of America,0.055138,0.752215,8.38
UBOH,United Bancshares Inc,Financial,Money Center Banks,United States of America,0.022815,0.097214,23.23
UBP,Urstadt Biddle Properties Inc,Financial,REIT - Retail,United States of America,0.039613,1.844764,13.92
UBSI,United Bankshares Inc,Financial,Regional - Mid-Atlantic Banks,United States of America,0.036251,0.562976,39.89
UCBI,United Community Banks Inc,Financial,Regional - Mid-Atlantic Banks,United States of America,0.021324,0.380556,34.73
UDR,UDR Inc,Financial,REIT - Residential,United States of America,0.042513,6.605843,42.55
UE,Urban Edge Properties,Financial,REIT - Diversified,United States of America,0.040743,0.272604,17.21
UFPI,Universal Forest Products Inc,Industrial Goods,"Lumber, Wood Production",United States of America,0.008512,0.124471,62.4
UHT,Universal Health Realty Income Trust,Financial,REIT - Healthcare Facilities,United States of America,0.042984,1.952641,68.64
ULH,Universal Logistics Holdings Inc,Services,Trucking,United States of America,0.008561,0.140998,25.42
UMBF,UMB Financial Corp,Financial,Regional - Southwest  Banks,United States of America,0.014121,0.210403,91.9
UNB,Union Bankshares Inc,Financial,Regional - Northeast Banks,United States of America,0.046071,0.479269,29
UNH,UnitedHealth Group Inc,Healthcare,Health Care Plans,United States of America,0.014469,0.290697,346.92
UNM,Unum Group,Financial,Accident & Health Insurance,United States of America,0.041758,0.292434,28.78
UNP,Union Pacific Corp,Services,Railroads,United States of America,0.019296,0.490933,209.61
UNTY,Unity Bancorp Inc,Financial,Money Center Banks,United States of America,0.014946,0.148669,21.41
UPS,United Parcel Service Inc,Services,Air Delivery & Freight Services,United States of America,0.0254,2.512286,164.4
